"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00257854963494098,3,8,55.403743315508,"Plant-type cell wall loosening "," http://amigo.geneontology.org/amigo/term/GO:0009828","IPR009057 IPR002963 IPR001547"
0.0356722912328898,2,6,49.2477718360071,"Peptidyl-asparagine modification "," http://amigo.geneontology.org/amigo/term/GO:0018196","IPR021149 IPR007676"
0.0356722912328898,2,6,49.2477718360071,"Protein N-linked glycosylation via asparagine "," http://amigo.geneontology.org/amigo/term/GO:0018279","IPR021149 IPR007676"
0.0356722912328898,4,59,10.0164959666455,"Tricarboxylic acid cycle "," http://amigo.geneontology.org/amigo/term/GO:0006099","IPR001236 IPR024084 IPR004790 IPR008948"
0.0211095419740503,6,129,6.87178211665216,"Aerobic respiration "," http://amigo.geneontology.org/amigo/term/GO:0009060","IPR001236 IPR024084 IPR004790 IPR002327 IPR002326 IPR008948"
0.017822785607031,7,175,5.90973262032086,"Energy derivation by oxidation of organic compounds "," http://amigo.geneontology.org/amigo/term/GO:0015980","IPR001236 IPR024084 IPR004790 IPR002327 IPR013780 IPR002326 IPR008948"
0.0356722912328898,6,155,5.71909608418147,"Cellular respiration "," http://amigo.geneontology.org/amigo/term/GO:0045333","IPR001236 IPR024084 IPR004790 IPR002327 IPR002326 IPR008948"
0.0253298251613876,8,251,4.70895029507638,"Ribonucleotide metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0009259","IPR000089 IPR043129 IPR000941 IPR001805 IPR036291 IPR023214 IPR002326 IPR008948"
0.00701294202667365,10,317,4.66067241350225,"Response to cadmium ion "," http://amigo.geneontology.org/amigo/term/GO:0046686","IPR001236 IPR015421 IPR002629 IPR001805 IPR038071 IPR002130 IPR014746 IPR013126 IPR011032 IPR008927"
0.0298866091661265,8,260,4.54594816947758,"Ribose phosphate metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0019693","IPR000089 IPR043129 IPR000941 IPR001805 IPR036291 IPR023214 IPR002326 IPR008948"
